,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5,11,1,1,2,0,1,0,4,0,2,0,4,2,2,1,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,4,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
341,9,1,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0
342,5,16,0,1,1,0,5,4,10,0,3,0,15,1,0,0,0
343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,9,1,0,1,1,0,13,5,5,0,0,0,5,1,0,0,0
348,15,82,3,23,2,0,0,1,7,0,8,0,19,2,1,3,1
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,17,19,14,9,6,0,8,22,24,1,13,2,54,7,3,4,0
351,11,0,0,0,2,0,0,1,3,1,1,0,0,0,1,0,0
352,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
353,10,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1
354,15,2,3,2,0,0,3,2,1,0,2,0,3,1,1,1,0
355,4,2,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0
356,4,10,0,0,2,0,2,14,11,0,1,1,6,0,0,1,0
357,2,1,0,21,5,0,0,0,3,1,0,0,1,0,0,0,0
358,5,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
359,5,5,2,2,3,0,19,4,8,0,2,0,18,6,0,0,0
360,8,0,1,1,4,0,4,4,4,0,0,0,6,1,1,0,0
361,8,0,1,2,0,0,5,3,5,0,1,0,2,0,1,0,0
362,16,9,5,2,3,0,0,0,2,0,3,1,42,4,1,1,0
363,11,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
364,17,33,22,11,9,0,3,13,45,0,12,1,51,13,3,7,1
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,4,2,0,0,0,0,2,3,3,0,0,0,0,1,0,0,0
367,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,9,2,1,1,2,0,24,4,17,0,0,0,8,2,4,3,0
370,3,3,1,3,1,0,0,1,1,0,1,0,1,1,0,0,0
