,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Unnamed: 0,smooth,vanilla,smoke,spice,peat,caramel,spicy,oak,honey,smoky,sweetness,peaty,fruit,Sweet,rye,smokey,citrus,burn,chocolate,fruity,balanced,balance,sherry,cinnamon,apple,orange,pepper,wood,old,Smokey,floral,toffee,alcohol,warm,harsh,fruits,Strong,spices,dry,Smoky,creamy,Spicy,grain,solid,mellow,maple,Vanilla,zest,butterscotch,oaky,heat,lemon,smokiness,peated,cherry,Caramel,cigar,corn,Honey,soft,Solid,oily,apples,heavy,coffee,Sherry,salty,pear,Warm,smoothness,peppery,fire,salt,syrup,barley,tobacco,aged,green,Smoke,Peat,hit,cream,Carmel,campfire,banana,buttery,sharp,rough,Old,Fruity,butter,nutty,Peaty,apricot,ginger,spirit,crisp,clove,age,rounded,Oak,Decent,medicinal,smoked,charred,iodine,roasted,cherries,nuts,cereal,mint,Spice,tropical,Apple,tea,grass,brine,cabinet,nutmeg,Orange,cocoa,herbs,mango,molasses,char,peach,coconut,pears,Floral,seaweed,Citrus,grassy,silky,Fruit,almonds,Cinnamon,sherried,Creamy,candy,cloves,oranges,syrupy,citrusy,toast,zesty,pine,peatiness,salted,biscuit,biscuits,Buttery,berry,candied,granola,marmalade,apricots,walnuts,walnut,cedar,saltiness,shortbread,raisin,Sweeter,mahogany,Lemon,juice,forest,silk,nuttiness,Salty,rose,Peppery,Butterscotch,Maple,Toasted,Toffee,Woody,espresso,melon,sultanas,cigars,plum,baked,Coffey,pineapple,Cherry,Apples,liquorice,Wood,flowers,smoking,Ginger,plums
SIA Blended Scotch Whisky,30.0,14.0,14.0,1.0,5.0,5.0,2.0,2.0,6.0,7.0,3.0,1.0,4.0,,,7.0,8.0,1.0,,,,1.0,,,,8.0,1.0,,1.0,,,,2.0,1.0,1.0,,,,2.0,,,,2.0,3.0,4.0,,,4.0,,,1.0,4.0,,,,,,,,2.0,,1.0,,2.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,1.0,5.0,,1.0,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,5.0,,,,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Tomatin Legacy,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruichladdich Octomore 07.3,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caol Ila Distillers Edition,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutty Sark Prohibition,4.0,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Ardmore The Ardmore 12 YO Port Wood Finish,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Ellen 1979 Gordon and MacPhail Rare Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledaig 18 Year Old Sherry Cask,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
The Macallan Rare Cask,13.0,4.0,,3.0,,,,4.0,,,,1.0,1.0,,,,,2.0,5.0,,,,1.0,1.0,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balblair Vintage 1990,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
The Dalmore Tay Dram - The Rivers Collection 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomatin 12 Year Old Cuatro Series #2 Manzanilla Sherry Cask Finish,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macallan 16 Year Old 1997 - Old Particular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomatin 14 Year Old Port Wood Finish,6.0,,,1.0,,1.0,,,,,,,1.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
Old Pulteney Navigator,1.0,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,2.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardhu Special Cask Reserve,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rare Malts Caol Ila 21 Year Old 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockando 18 Year Old,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glenrothes 25 Year Old,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Scapa 16 Year Old,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewar's 12 Year Old,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Garioch 15 YO Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberlour 15 YO Select Cask Reserve,1.0,2.0,,2.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamdhu Batch Strength,11.0,7.0,3.0,1.0,,2.0,1.0,3.0,,,1.0,1.0,2.0,,,2.0,1.0,,1.0,2.0,1.0,,6.0,,,,3.0,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glenrothes Glenrothes Sherry Cask Reserve,3.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,2.0,,,1.0,3.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon & MacPhail Ardbeg Connoisseurs Choice 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. D. Rattray Cask Islay,,,1.0,,2.0,,,,,2.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Jura Jura Tastival Whisky,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inchmurrin 18 Year Old,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rare Malts Royal Lochnagar 23 Year Old 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The GlenDronach 21 Year Old Parliament,2.0,,,1.0,,2.0,,1.0,,,,,1.0,,,,,2.0,1.0,,,,6.0,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macallan 21 Year Old 1990 - Directors' Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midleton Very Rare Irish Whiskey,29.0,12.0,,4.0,,4.0,2.0,7.0,5.0,,2.0,,1.0,,,,1.0,2.0,,,3.0,,,,2.0,,2.0,,1.0,,2.0,,,,2.0,,,2.0,,,6.0,,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Crown Royal Northern Harvest Rye,12.0,1.0,,3.0,,,7.0,1.0,1.0,,,,,,19.0,,,1.0,,,1.0,,,1.0,2.0,,3.0,,2.0,,,,1.0,3.0,,,,1.0,,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koval Single Barrel Millet Whiskey,27.0,2.0,,2.0,,6.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,,2.0,2.0,1.0,2.0,,8.0,,,,,2.0,1.0,,,,,1.0,,1.0,,2.0,1.0,,,1.0,,,,4.0,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,1.0,6.0,,,,,,,,,2.0,,,,1.0,,,,,,3.0,,,,,,,,2.0,,1.0,,,,,,,,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothaus Black Forest Single Malt Whisky,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amrut Single Malt Whisky,5.0,1.0,,,2.0,1.0,,6.0,1.0,,2.0,1.0,2.0,,,,,2.0,,1.0,2.0,1.0,1.0,,,,1.0,,,,1.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S?ntis Cask Strength Peated,3.0,8.0,18.0,1.0,3.0,1.0,1.0,5.0,,11.0,4.0,5.0,,,,9.0,,,,,2.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,5.0,7.0,1.0,,1.0,,,,,,,2.0,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Teeling Small Batch Irish Whiskey,35.0,6.0,1.0,1.0,,2.0,4.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,2.0,1.0,1.0,,,7.0,2.0,,,,,2.0,,1.0,,1.0,,,2.0,,,4.0,,1.0,3.0,1.0,,,,,,,2.0,,,1.0,,,,,,,1.0,2.0,,3.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,3.0,,3.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Jameson Black Barrel,48.0,7.0,5.0,8.0,,6.0,,4.0,2.0,3.0,4.0,1.0,,,,2.0,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,3.0,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,3.0,1.0,,,,,,,,,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connemara 12 Year Old Peated Whiskey,23.0,7.0,28.0,,39.0,,,,3.0,12.0,6.0,15.0,1.0,,,13.0,,,,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,3.0,13.0,,,,,,,,7.0,,5.0,2.0,,,2.0,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,1.0,,,,1.0,,,,,,,5.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kavalan Classic Single Malt Whisky,9.0,4.0,,,,1.0,1.0,2.0,,,2.0,,2.0,,,,,,,4.0,,,,,,,,,,,4.0,,,,,1.0,,1.0,1.0,,2.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redbreast 15 Year Old,19.0,3.0,,2.0,,1.0,2.0,3.0,2.0,,1.0,,3.0,,,,1.0,,2.0,,,,,1.0,2.0,,2.0,3.0,2.0,,,2.0,,,1.0,1.0,,2.0,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journeyman Corsets, Whips & Whiskey (59.2%)",4.0,,,5.0,,7.0,10.0,,6.0,,1.0,,,,1.0,,,2.0,,,,1.0,,4.0,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,1.0,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Irishman 12 Year Old Single Malt Irish Whiskey,31.0,12.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,,1.0,,,,,1.0,1.0,3.0,,3.0,5.0,,4.0,1.0,,,2.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,5.0,,,1.0,2.0,,,,4.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Pertuis Pure Malt Whisky,2.0,,,1.0,,,,1.0,,,,,4.0,,,,,2.0,3.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mitchell & Son Green Spot Ch?teau L?oville Barton,6.0,,,2.0,,3.0,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,5.0,,1.0,,,,,1.0,,,,,,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamazakura Blended Whisky,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
