,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
112,Glenfiddich Age of Discovery 19 Year Old Madeira Cask Finish,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0
113,Highland Park 40 Year Old,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
114,Edradour 10 Year Old 2002 Burgundy Cask Finish,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
115,Glenfarclas Vintage 1996 Oloroso Sherry Cask,0,0,0,1,1,0,2,2,0,0,0,2,1,0,0,0
116,Talisker 57¢X North,2,3,11,0,0,0,3,7,0,1,1,0,0,3,0,3
117,Caol Ila 18 Year Old,0,0,4,0,0,0,0,1,2,2,0,1,0,0,0,0
118,Isle of Jura Jura Prophecy Whisky,0,0,13,1,0,0,0,5,0,0,0,0,1,2,0,2
119,BenRiach 15 Year Old Pedro Ximenez Sherry Finish,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
120,The GlenDronach The Glendronach 15 Year Old Revival,7,2,8,4,13,0,8,1,0,1,0,4,1,0,1,0
121,Glenfiddich 14 Year Old Rich Oak,1,4,0,2,0,1,4,2,0,2,0,1,0,0,0,0
122,Laphroaig 25 Year Old,0,1,3,1,0,0,1,2,0,0,0,2,0,0,0,1
123,The Dalmore Mackenzie 1992 (The Death of the Stag Edition),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Cu Dhub Black Whisky,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
125,Tomintoul 16 Year Old,3,1,0,1,0,2,1,1,2,0,1,1,0,0,0,0
126,Glenmorangie Nectar D'Or,19,4,11,1,1,2,15,12,0,2,0,19,3,1,2,0
127,Old Pulteney 12 Year Old,19,4,7,3,0,1,17,14,0,6,2,12,5,1,6,22
128,Auchentoshan 12 Year Old Whisky,12,3,9,6,4,1,22,10,4,10,1,24,3,2,2,0
129,Glenfiddich 15 Year Old Whisky,6,1,3,0,1,0,7,4,1,2,0,11,1,0,2,0
130,Balblair 1989 Whisky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Glenmorangie Quinta Ruban Whisky,12,3,6,37,1,0,34,14,0,3,0,25,9,1,5,0
132,Double Barrel Caol Ila & Braeval,2,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0
133,Aberlour 12 Year Old,24,3,25,7,11,0,13,8,1,2,2,60,11,2,3,0
134,The Dalmore Tay Dram - The Rivers Collection 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Arran The Arran Amarone Cask Finish,2,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0
136,Glenfarclas 12 Scotch Whisky,6,4,6,2,4,1,8,3,0,2,0,11,6,0,0,0
137,Aberlour 18 Year Old,2,3,3,2,4,0,3,1,0,1,0,4,0,0,2,0
138,Wemyss Malts The Hive 12 Year Old,5,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0
139,The Macallan 1971 Gordon and MacPhail Speymalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Gordon & MacPhail Port Ellen Connoisseurs Choice 1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Aberlour 16 Year Old,6,4,15,1,3,0,10,12,0,1,0,23,0,0,0,0
142,Glen Garioch 21 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Ledaig 10 Year Old,5,1,48,1,0,1,6,11,1,1,0,7,3,2,4,4
144,Monkey Shoulder Blended Scotch Whisky,33,19,17,4,0,2,37,24,2,12,4,84,13,2,4,1
145,Aberfeldy 21 Year Old,2,1,1,0,0,0,3,3,0,1,0,2,0,0,0,0
146,Rosebank 12 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,The Dalmore King Alexander III,4,2,4,4,1,2,11,6,0,4,0,8,1,0,2,0
148,Auchroisk 10 YO Flora and Fauna,3,0,0,3,0,0,6,0,1,0,0,1,1,1,0,0
149,The Glenrothes Glenrothes 1998,4,3,0,0,0,0,3,2,0,1,1,4,0,0,0,0
150,anCnoc 12 Year Old,1,1,1,0,0,0,4,2,0,0,1,2,0,0,0,0
151,Tobermory 15 Year Old,2,0,0,0,1,0,1,2,0,1,0,1,0,0,0,1
152,The Macallan 10 Year Old Fine Oak,2,2,1,0,0,0,4,1,0,2,0,1,1,1,0,0
153,Port Askaig 100¢X Proof,2,0,31,1,0,0,2,8,0,1,0,0,3,1,0,0
154,The Dalmore 18 Year Old,5,2,6,14,0,0,16,6,1,2,1,13,6,0,1,0
155,The Dalmore Cigar Malt Reserve,24,3,24,47,10,0,15,4,1,2,0,18,10,2,2,1
156,Glenmorangie Signet,5,2,2,20,0,0,11,8,0,1,0,4,2,0,1,0
157,The Macallan 30 Year Old Sherry Oak,0,0,2,1,2,0,4,2,0,3,0,1,0,0,0,0
158,Cragganmore 12 Year Old,4,3,9,1,0,0,4,2,0,1,2,5,0,0,1,0
159,Ardbeg Rollercoaster Exclusive 10th Anniversary Committee Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Rosebank 8 Year Old 1980s Bottling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,The Glenrothes Glenrothes 1995,2,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0
162,Talisker 10 Year Old,15,3,115,0,0,0,11,21,0,3,2,14,11,4,11,26
163,Inchgower 14 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Bruichladdich Octomore 01.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,The Glenrothes Select Reserve,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
166,Chivas Regal 18YO,3,0,1,5,2,1,4,2,1,1,1,7,0,0,5,0
167,Compass Box Asyla,2,4,0,0,0,1,3,1,1,0,1,2,1,0,0,0
168,Laphroaig Single Malt Cairdeas 2015,1,0,3,0,0,0,1,1,0,0,0,2,0,0,0,3
169,BenRiach 20 Year Old,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,Ardbeg 21 Year Old Committee Release 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Ballantine's Ballantines 17 Year Old,0,2,4,3,0,0,4,1,0,2,0,3,0,0,0,0
