,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,5,5,2,0,0,0,11,7,4,0,0,1,5,1,0,0,0
315,3,1,1,0,1,0,1,0,3,0,0,0,0,1,0,1,0
316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,6,6,2,1,1,0,4,3,3,0,1,0,26,1,2,0,0
318,11,0,2,0,1,0,1,3,1,0,0,0,0,1,0,0,0
319,19,18,6,2,1,0,2,4,21,0,4,0,16,5,1,1,0
320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,17,4,3,3,1,0,0,1,2,0,0,1,4,0,0,0,1
322,17,5,1,0,1,0,1,0,0,0,0,0,3,1,1,0,0
323,17,7,4,0,0,0,1,1,3,0,2,0,9,4,0,2,0
324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,5,2,1,2,2,0,16,1,9,0,0,0,11,1,0,1,0
327,10,0,0,0,4,2,0,2,1,0,1,0,0,0,0,0,0
328,9,3,1,0,1,0,1,2,2,0,1,0,1,0,0,0,0
329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,9,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0
333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,19,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
336,5,3,0,0,2,0,9,2,0,0,0,0,1,1,2,0,0
337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,16,11,1,1,2,0,1,0,4,0,2,0,4,2,2,1,0
339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
341,4,1,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0
342,17,16,0,1,1,0,5,4,10,0,3,0,15,1,0,0,0
343,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,5,1,0,1,1,0,13,5,5,0,0,0,5,1,0,0,0
348,16,82,3,23,2,0,0,1,7,0,8,0,19,2,1,3,1
349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,18,19,14,9,6,0,8,22,24,1,13,2,54,7,3,4,0
351,3,0,0,0,2,0,0,1,3,1,1,0,0,0,1,0,0
352,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
353,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1
354,4,2,3,2,0,0,3,2,1,0,2,0,3,1,1,1,0
355,9,2,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0
356,9,10,0,0,2,0,2,14,11,0,1,1,6,0,0,1,0
357,7,1,0,21,5,0,0,0,3,1,0,0,1,0,0,0,0
358,17,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
359,5,5,2,2,3,0,19,4,8,0,2,0,18,6,0,0,0
360,18,0,1,1,4,0,4,4,4,0,0,0,6,1,1,0,0
361,5,0,1,2,0,0,5,3,5,0,1,0,2,0,1,0,0
362,6,9,5,2,3,0,0,0,2,0,3,1,42,4,1,1,0
363,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
364,19,33,22,11,9,0,3,13,45,0,12,1,51,13,3,7,1
365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,9,2,0,0,0,0,2,3,3,0,0,0,0,1,0,0,0
367,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,5,2,1,1,2,0,24,4,17,0,0,0,8,2,4,3,0
370,2,3,1,3,1,0,0,1,1,0,1,0,1,1,0,0,0
371,11,5,6,0,2,0,0,9,3,0,3,0,1,3,0,0,0
372,5,18,0,1,1,0,50,18,27,0,5,1,32,7,3,2,0
373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6,4,2,2,0,1,1,5,3,0,2,0,24,0,2,0,0
376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,5,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
